geoname,pct_vm_chn,cons1_pct
Markham—Unionville,55.73846213839968,49.36896807720861
Scarborough—Agincourt,45.435297692956816,38.02579651554529
Scarborough North,41.18084071471167,27.39869347759518
Markham—Thornhill,36.075906379445385,32.31444104813683
Don Valley North,31.56798232875,37.820386543217985
Richmond Hill,25.07356207706199,43.318469651619736
Willowdale,22.647341052332834,36.972558918895395
Aurora—Oak Ridges—Richmond Hill,17.382274602234407,45.19223224794037
Markham—Stouffville,16.642231623483337,42.77014705636324
Spadina—Fort York,14.603329090345394,15.726771596431421
Toronto—Danforth,13.739721031062901,9.855886004210072
University—Rosedale,12.280835492985247,17.50558784085829
Mississauga Centre,11.597853574900565,33.616832523335646
Mississauga—Erin Mills,9.814283076367815,39.23609229045838
Scarborough Centre,9.187030915762161,32.656732328055256
Toronto Centre,8.500151582984312,12.187265325481206
Don Valley West,8.404251345592698,37.59542731863916
Don Valley East,8.164341956876093,29.227180917572376
Thornhill,7.23216145475719,58.56196436108715
Mississauga—Malton,6.168454974241016,26.439352856109906
Scarborough Southwest,6.119625196743609,21.21765164253783
Beaches—East York,5.741812290666982,16.430758148748424
Scarborough—Guildwood,5.470930108097777,26.499988071665438
Davenport,5.210880195370032,10.55380767989674
Mississauga East—Cooksville,5.204205704559262,35.35065585453705
Scarborough—Rouge Park,5.116566259816682,27.362803343067167
Mississauga—Streetsville,4.692140168910858,40.39536420293219
Newmarket—Aurora,4.302884138281741,42.60590818928875
King—Vaughan,4.041389994669976,44.19778371063892
Toronto—St. Paul's,3.8369440822605814,26.988696201642913
Mississauga—Lakeshore,3.6861558722436856,41.224503568235114
Parkdale—High Park,3.598283955953338,13.046596206054604
Eglinton—Lawrence,3.3273453018198804,42.63693719529682
Humber River—Black Creek,3.298501465207649,20.15672495050057
Oakville,3.2813913024365786,42.4972566959801
Oakville North—Burlington,3.041874408540558,43.328508454503584
York Centre,2.8083952181572465,43.9945044709389
Etobicoke—Lakeshore,2.781935744189903,32.44868853475538
York South—Weston,2.328133969201573,19.21704113851645
Ajax,2.2894286216864677,34.40780009590282
Etobicoke Centre,2.2783040853517433,37.32888903271739
Vaughan—Woodbridge,2.144469867596462,43.862319759820714
Milton,2.1298628912145743,45.384116167761825
Pickering—Uxbridge,1.8661269914154517,38.18691999526699
Whitby,1.8275451569006687,42.08878417756836
Brampton North,1.779559461255045,32.98592368060458
Brampton Centre,1.7572410888496572,33.67228502220428
Etobicoke North,1.546709197350933,22.995910992772917
Brampton East,1.348984703228938,23.541122859797373
Burlington,1.2808876455910823,42.48216833095578
Brampton West,1.2551724976476564,30.111986727498962
Brampton South,1.1846856552872613,35.03651240541967
York—Simcoe,0.8371493999466798,50.24749890348586
Oshawa,0.583138310714633,38.16695778268464
