geoname,pct_vm_chn,cons1_pct
Scarborough—Agincourt,46.21874858024512,34.62843667318532
Markham—Unionville,42.80524148005981,33.975093043229315
Scarborough—Rouge River,30.101452905296128,27.655532308876225
Willowdale,29.23447044984226,33.46675609597784
Richmond Hill,25.13733290911008,36.53989908428331
Oak Ridges—Markham,24.573196594891343,37.466410748560456
Don Valley East,17.662802441242654,26.794604608081507
Trinity—Spadina,15.203804846723498,13.989971097259463
Toronto—Danforth,13.748767573419492,10.005346723388428
Thornhill,11.36336203952931,43.991075556270225
Scarborough Centre,11.360406168699626,21.57580919931857
Mississauga—Erindale,10.594033519171061,29.893362182211575
Don Valley West,8.613521898713493,30.62635928664637
Toronto Centre,8.087688407175413,18.55259302666276
Mississauga—Brampton South,7.533861696180079,27.22696803233066
Mississauga—Streetsville,6.580157582265602,28.070012103156134
Scarborough Southwest,6.3217828152632976,20.650069533444224
Mississauga East—Cooksville,5.84379511912738,26.196845078873025
Beaches—East York,5.744562758178292,13.928471640122938
Davenport,5.218231403978671,7.470426641251332
Newmarket—Aurora,3.9992634044096387,37.42380524716718
St. Paul's,3.9485036208580744,23.948986291558068
Pickering—Scarborough East,3.637688941199752,28.296986252295014
Parkdale—High Park,3.597013172467779,12.833477479874924
Mississauga South,3.524376891436911,33.198380566801625
York Centre,3.423792562177583,31.461214332173864
Vaughan,3.4089900117095,28.172028737825418
Eglinton—Lawrence,3.3319300608375526,33.75773270033089
York West,3.2976918436294884,10.95944143720091
Oakville,3.2799233094004663,37.81401762695605
Halton,2.8416413495919657,37.101422329645814
Etobicoke—Lakeshore,2.7440102861213034,34.354306252808
Scarborough—Guildwood,2.7022514047681256,28.00553138774452
Etobicoke Centre,2.384382284779228,32.72052622701974
York South—Weston,2.3298751050730395,11.258702821546354
Ajax—Pickering,2.2240531610651693,29.169583819525474
Brampton—Springdale,1.8090191371585165,23.945562130177514
Whitby—Oshawa,1.6959212930015843,40.647944510235156
Etobicoke North,1.405175625026264,22.74337589489999
Bramalea—Gore—Malton,1.3612913523405168,17.717440458245402
Brampton West,1.31631160558146,24.339732614476702
Burlington,1.290865711893703,36.98466184242022
Oshawa,0.6446632047880066,30.541085531843386
