geoname,pct_vm_sa,cons1_pct
Bramalea—Gore—Malton,44.47418790280633,17.717440458245402
Brampton—Springdale,35.34007295345771,23.945562130177514
Scarborough—Rouge River,32.546800600899054,27.655532308876225
Brampton West,31.695745301074602,24.339732614476702
Scarborough—Guildwood,29.983736750445377,28.00553138774452
Etobicoke North,29.980127470382794,22.74337589489999
Mississauga—Brampton South,28.626239194995257,27.22696803233066
Markham—Unionville,25.021793531353083,33.975093043229315
Scarborough Centre,24.147317000335207,21.57580919931857
Mississauga—Erindale,22.237273733048195,29.893362182211575
Mississauga—Streetsville,21.297277979803425,28.070012103156134
Mississauga East—Cooksville,18.946121705584183,26.196845078873025
Scarborough Southwest,18.170177215162113,20.650069533444224
Don Valley West,16.763441015818593,30.62635928664637
Pickering—Scarborough East,16.214143169840707,28.296986252295014
York West,15.714946798271978,10.95944143720091
Scarborough—Agincourt,14.35005887566438,34.62843667318532
Ajax—Pickering,13.607114454730624,29.169583819525474
Oak Ridges—Markham,12.583895469010354,37.466410748560456
Don Valley East,12.326720170164181,26.794604608081507
Halton,11.530851875754761,37.101422329645814
Vaughan,10.780545923470914,28.172028737825418
Beaches—East York,10.175953023177403,13.928471640122938
Toronto Centre,8.766218996665948,18.55259302666276
Mississauga South,7.670603132857778,33.198380566801625
Richmond Hill,7.11922590610093,36.53989908428331
York South—Weston,7.002089906777561,11.258702821546354
Etobicoke Centre,6.775378616095335,32.72052622701974
Thornhill,6.651057578291149,43.991075556270225
Oakville,5.900457754628297,37.81401762695605
Willowdale,5.0584520112672875,33.46675609597784
Trinity—Spadina,4.803455935960561,13.989971097259463
Toronto—Danforth,4.517501020100085,10.005346723388428
Etobicoke—Lakeshore,4.511888964845841,34.354306252808
Parkdale—High Park,4.384766318582496,12.833477479874924
Whitby—Oshawa,4.134368356690012,40.647944510235156
Davenport,4.071083446803119,7.470426641251332
York Centre,3.7853961163012637,31.461214332173864
Newmarket—Aurora,3.1331512510581896,37.42380524716718
St. Paul's,2.9946171392569556,23.948986291558068
Eglinton—Lawrence,2.539393869397707,33.75773270033089
Burlington,2.027796172351186,36.98466184242022
Oshawa,1.5256790840722745,30.541085531843386
