dist_km,num_pop_tot,num_not_imm_tot,num_imm_tot,num_imm_new,num_vm_tot,num_imm_2nd_tot
1,1100.0,755.0,330.0,25.0,0,0
2,21040.0,12680.0,8360.0,1405.0,0,0
3,63405.0,33720.0,29685.0,4510.0,0,0
4,45185.0,24130.0,21055.0,2345.0,0,0
5,63982.59103706895,32620.84875870773,31346.742278361224,3828.828069929371,0,0
6,79570.0,43545.0,36025.0,4475.0,0,0
7,89585.0,45720.0,43865.0,5705.0,0,0
8,108200.0,61100.0,47090.0,3405.0,0,0
9,56835.0,34475.0,22360.0,1095.0,0,0
10,113605.0,67160.0,46445.0,3305.0,0,0
11,82815.0,51350.0,31465.0,1920.0,0,0
12,72660.0,39320.0,33340.0,3360.0,0,0
13,90820.0,54295.0,36525.0,3495.0,0,0
14,76045.0,44935.0,31110.0,2100.0,0,0
15,85515.0,53505.0,32010.0,2295.0,0,0
16,58175.0,37470.0,20705.0,1605.0,0,0
17,102748.33067174189,65050.396258402485,37697.93441333941,2560.2059555456335,0,0
18,57795.0,36725.0,21055.0,1005.0,0,0
19,95880.0,61645.0,34235.0,2345.0,0,0
20,104180.0,62825.0,41355.0,3790.0,0,0
21,117835.0,71735.0,46100.0,4000.0,0,0
22,130755.0,74925.0,55830.0,5195.0,0,0
23,99240.0,61380.0,37860.0,3610.0,0,0
24,99910.0,61520.0,38390.0,2755.0,0,0
25,77402.25454235086,49961.85446740919,27440.40007494167,2956.232787507321,0,0
26,104970.0,63855.0,41115.0,3870.0,0,0
27,40395.0,26970.0,13425.0,895.0,0,0
28,59360.0,36290.0,23070.0,2440.0,0,0
29,46320.0,28285.0,18035.0,1710.0,0,0
30,39185.0,23120.0,16065.0,1355.0,0,0
31,28580.0,17630.0,10950.0,885.0,0,0
32,40455.0,23960.0,16495.0,1110.0,0,0
33,67385.0,42195.0,25190.0,1690.0,0,0
34,25340.0,17205.0,8135.0,650.0,0,0
35,22435.0,16160.0,6275.0,175.0,0,0
36,19300.0,13535.0,5765.0,555.0,0,0
37,30090.0,21455.0,8635.0,615.0,0,0
38,34890.342479872525,25495.277705863315,9395.06477400921,541.2503297922965,0,0
39,46495.0,33470.0,13025.0,1170.0,0,0
40,18655.0,13950.0,4705.0,470.0,0,0
41,24615.0,17705.0,6910.0,330.0,0,0
42,56040.0,38685.0,17355.0,1425.0,0,0
43,30015.0,21280.0,8735.0,810.0,0,0
44,24380.0,16885.0,7495.0,405.0,0,0
45,35805.0,25075.0,10730.0,705.0,0,0
46,20390.0,14155.0,6235.0,590.0,0,0
47,0.0,0.0,0.0,0.0,0,0
48,21113.989526216883,14302.833114855703,6811.156411361179,585.9735748540415,0,0
49,9369.96179121089,7195.268557362945,2174.6932338479446,59.343792477058734,0,0
50,19730.0,14605.0,5125.0,350.0,0,0
